subject,idna_subject,expiration_date,epoch,registrar
gaymale.click,gaymale.click,02-dec-2026,1796169600.0,"Dynadot, LLC"
javhiv.xyz,javhiv.xyz,26-dec-2026,1798243200.0,Communigal Communications Ltd
lauxanh.click,lauxanh.click,20-nov-2026,1795132800.0,CommuniGal Communication Ltd.
phimsexhay.icu,phimsexhay.icu,14-jun-2026,1781395200.0,VIRTUA DRUG Kutatási Szolgáltató Korlátolt Felelősségű Társaság
tinhmotdem.asia,tinhmotdem.asia,05-sep-2026,1788566400.0,Dynadot Inc
xhvid.site,xhvid.site,06-may-2026,1778025600.0,Dynadot Inc
porntubesex.biz,porntubesex.biz,01-apr-2027,1806537600.0,Dynadot Inc
gaigoidanang.xyz,gaigoidanang.xyz,22-mar-2027,1805673600.0,"Porkbun, LLC"
xvideos.skin,xvideos.skin,03-apr-2027,1806710400.0,Namecheap
gaicaocap.xyz,gaicaocap.xyz,01-apr-2027,1806537600.0,"GMO Internet Group, Inc. d/b/a Onamae.com"
checkgaigoi.xyz,checkgaigoi.xyz,01-apr-2027,1806537600.0,"GMO Internet Group, Inc. d/b/a Onamae.com"
66zzz.xyz,66zzz.xyz,05-apr-2027,1806883200.0,Dynadot LLC
9s102.xyz,9s102.xyz,07-apr-2027,1807056000.0,Dynadot LLC
9s104.xyz,9s104.xyz,07-apr-2027,1807056000.0,Dynadot LLC
9s111.xyz,9s111.xyz,07-apr-2027,1807056000.0,Dynadot LLC
2sepi8.cam,2sepi8.cam,06-apr-2027,1806969600.0,Dynadot LLC
hdsextube.xyz,hdsextube.xyz,29-oct-2026,1793232000.0,Dynadot LLC
chim18.xyz,chim18.xyz,07-apr-2027,1807056000.0,Atak Domain Bilgi Teknolojileri A.Ş.
haysex.xyz,haysex.xyz,09-apr-2027,1807228800.0,Namecheap
prostitutkismolenskasex.date,prostitutkismolenskasex.date,09-jun-2026,1780963200.0,PDR Ltd. d/b/a PublicDomainRegistry.com
phimxxx.site,phimxxx.site,12-jan-2028,1831248000.0,"NameSilo, LLC"
tphimsex.club,tphimsex.club,12-apr-2027,1807488000.0,Dynadot Inc
pormhub.it,pormhub.it,06-aug-2026,1785974400.0,
hentaizz.cc,hentaizz.cc,12-apr-2027,1807488000.0,"Big Dipper Domains, LLC"
45551.vip,45551.vip,16-apr-2027,1807833600.0,Dynadot Inc
10369.vip,10369.vip,17-apr-2027,1807920000.0,Gname.com Pte. Ltd.
sex18.xyz,sex18.xyz,19-apr-2027,1808092800.0,Gname.com Pte. Ltd.
sextop1.fun,sextop1.fun,19-apr-2027,1808092800.0,Dynadot Inc
